Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Belum Menikah,1st phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,108,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Konstruksi/Transportasi,Konstruksi/Transportasi,115,Iya,Tidak,Iya,Tidak,Perempuan,Tidak,20,Tidak,0,6,0,0,0,0,0,6,0,0,0,0,8,1,3,Dropout
Sudah Menikah,Over 23 years old,1,Management,Evening,Higher education - degree,140,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Belum/Tidak Bekerja,Konstruksi/Transportasi,152,Tidak,Tidak,Tidak,Iya,Perempuan,Tidak,26,Tidak,0,5,5,5,12,0,0,5,6,5,14,0,10,1,1,Graduate
Belum Menikah,Change of course,2,Oral Hygiene,Daytime,Secondary education,120,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Manajemen/Administrasi,Spesialis IT/Teknisi,110,Tidak,Tidak,Tidak,Iya,Perempuan,Tidak,27,Tidak,0,7,9,7,12,0,1,8,10,8,13,0,10,1,1,Graduate
Belum Menikah,1st phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,117,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Layanan dan Jasa,Direktur/Manager,113,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,20,Tidak,0,5,6,4,11,0,0,5,5,4,10,0,9,0,-3,Graduate
Belum Menikah,2nd phase - general contingent,1,Social Service,Daytime,Secondary education,151,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Layanan dan Jasa,Belum/Tidak Bekerja,144,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,18,Tidak,0,6,8,6,15,0,0,6,7,6,16,0,16,0,0,Graduate
Belum Menikah,Over 23 years old,1,Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Doctorate,Manajemen/Administrasi,Spesialis IT/Teknisi,100,Tidak,Tidak,Tidak,Iya,Perempuan,Tidak,24,Tidak,0,8,11,7,12,0,0,8,11,7,12,0,12,3,-1,Graduate
Belum Menikah,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,130,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Petani/Perikanan/Kehutanan,Belum/Tidak Bekerja,126,Iya,Tidak,Tidak,Iya,Perempuan,Iya,19,Tidak,3,6,7,5,12,0,2,6,6,6,11,0,13,0,0,Graduate
Belum Menikah,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,125,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Spesialis IT/Teknisi,Layanan dan Jasa,115,Tidak,Tidak,Tidak,Iya,Perempuan,Tidak,19,Tidak,0,6,13,4,11,0,0,6,10,4,11,0,10,1,1,Graduate
Belum Menikah,Change of institution/course,1,Social Service (evening attendance),Evening,Secondary education,121,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Layanan dan Jasa,Konstruksi/Transportasi,112,Tidak,Tidak,Tidak,Iya,Perempuan,Tidak,22,Tidak,14,16,16,13,10,0,13,13,13,11,11,0,16,0,0,Graduate
Belum Menikah,Change of course,1,Communication Design,Daytime,Secondary education,141,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Layanan dan Jasa,Tentara,127,Tidak,Tidak,Tidak,Iya,Perempuan,Tidak,20,Tidak,0,6,6,5,12,0,0,6,9,5,12,0,12,3,-1,Graduate
Belum Menikah,Over 23 years old,1,Agronomy,Daytime,Secondary education,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,120,Tidak,Tidak,Tidak,Iya,Perempuan,Tidak,25,Tidak,0,6,6,0,0,0,0,6,6,0,0,0,11,0,2,Dropout
Belum Menikah,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,180,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Manajemen/Administrasi,Spesialis Pendidikan,180,Tidak,Tidak,Tidak,Iya,Perempuan,Tidak,21,Tidak,0,6,6,6,15,0,0,6,8,6,15,0,15,2,-4,Graduate
Belum Menikah,2nd phase - general contingent,4,Journalism and Communication,Daytime,Secondary education,127,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Manajemen/Administrasi,Direktur/Manager,115,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,18,Tidak,0,6,7,6,12,0,0,6,6,6,13,0,13,0,0,Graduate
Belum Menikah,2nd phase - general contingent,3,Nursing,Daytime,Secondary education,143,Portuguese,Higher Education - Degree,Higher Education - Degree,Belum/Tidak Bekerja,Konstruksi/Transportasi,129,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,19,Tidak,0,7,8,7,13,0,0,8,9,8,14,0,13,0,0,Graduate
Belum Menikah,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,144,Dutch,Higher Education - Degree,Higher Education - Degree,Petani/Perikanan/Kehutanan,Petani/Perikanan/Kehutanan,137,Iya,Tidak,Tidak,Iya,Perempuan,Iya,19,Iya,0,5,6,5,15,0,0,5,5,5,16,0,10,1,1,Graduate
Belum Menikah,2nd phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,126,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Layanan dan Jasa,Layanan dan Jasa,129,Iya,Tidak,Iya,Tidak,Perempuan,Tidak,18,Tidak,0,6,9,5,12,0,0,6,9,4,11,0,10,1,1,Dropout
Belum Menikah,Change of institution/course,1,Social Service,Daytime,Technological specialization course,140,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Layanan dan Jasa,Konstruksi/Transportasi,129,Iya,Tidak,Tidak,Iya,Perempuan,Iya,20,Tidak,6,11,11,11,12,0,6,11,11,11,13,0,12,0,1,Graduate
Belum Menikah,2nd phase - general contingent,5,Nursing,Daytime,Secondary education,148,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Manajemen/Administrasi,Spesialis IT/Teknisi,130,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,19,Tidak,0,7,0,0,0,0,0,8,0,0,0,0,12,0,1,Dropout
Belum Menikah,Transfer,1,Nursing,Daytime,Secondary education,100,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Layanan dan Jasa,Konstruksi/Transportasi,134,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,28,Tidak,12,17,21,17,13,0,11,17,19,17,13,0,16,0,0,Graduate
Belum Menikah,1st phase - general contingent,1,Social Service,Daytime,Secondary education,151,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,138,Iya,Tidak,Tidak,Iya,Perempuan,Iya,20,Tidak,0,6,8,6,14,0,0,6,8,6,11,0,12,3,-1,Graduate
Belum Menikah,Transfer,1,Social Service (evening attendance),Evening,Secondary education,120,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Belum/Tidak Bekerja,Konstruksi/Transportasi,120,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,30,Tidak,9,11,19,9,13,1,5,7,7,7,14,0,7,2,0,Dropout
Belum Menikah,1st phase - general contingent,4,Nursing,Daytime,Secondary education,135,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Belum/Tidak Bekerja,Konstruksi/Transportasi,123,Iya,Tidak,Tidak,Iya,Perempuan,Iya,19,Tidak,0,7,8,7,12,0,0,8,10,8,11,0,12,0,1,Graduate
Belum Menikah,1st phase - general contingent,2,Communication Design,Daytime,Secondary education,121,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Spesialis IT/Teknisi,Spesialis IT/Teknisi,116,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,22,Tidak,0,6,7,6,11,0,0,6,7,5,13,0,12,3,-1,Graduate
Belum Menikah,1st phase - general contingent,1,Tourism,Daytime,Secondary education,116,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Layanan dan Jasa,Spesialis IT/Teknisi,110,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,18,Tidak,0,6,8,6,12,0,0,6,6,6,13,0,11,0,2,Graduate
Belum Menikah,2nd phase - general contingent,1,Basic Education,Daytime,Secondary education,147,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,142,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,23,Tidak,0,6,11,2,10,0,0,6,15,2,11,0,7,2,0,Dropout
Belum Menikah,2nd phase - general contingent,4,Communication Design,Daytime,Secondary education,160,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Layanan dan Jasa,Konstruksi/Transportasi,155,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,18,Tidak,0,6,6,6,14,0,0,6,6,6,15,0,11,0,2,Graduate
Sudah Menikah,Over 23 years old,1,Journalism and Communication,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,100,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,163,Tidak,Tidak,Iya,Tidak,Laki-laki,Tidak,50,Tidak,0,6,7,1,15,0,0,5,12,0,0,0,10,1,1,Dropout
Belum Menikah,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,151,Brazilian,Higher Education - Degree,Higher Education - Degree,Spesialis Pendidikan,Layanan dan Jasa,161,Iya,Tidak,Tidak,Iya,Perempuan,Iya,19,Iya,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,Graduate
Belum Menikah,2nd phase - general contingent,2,Tourism,Daytime,Secondary education,124,Brazilian,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,123,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,22,Iya,0,6,7,6,10,0,0,6,6,6,10,0,13,0,0,Graduate
Belum Menikah,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,140,Brazilian,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Manajemen/Administrasi,Petani/Perikanan/Kehutanan,137,Tidak,Tidak,Iya,Iya,Perempuan,Iya,23,Iya,3,6,7,6,13,0,2,6,6,6,14,0,12,0,1,Graduate
Belum Menikah,3rd phase - general contingent,4,Veterinary Nursing,Daytime,Secondary education,170,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Manajemen/Administrasi,Layanan dan Jasa,166,Tidak,Tidak,Iya,Tidak,Perempuan,Iya,20,Tidak,2,5,8,5,14,1,0,5,6,5,14,0,12,3,-1,Dropout
Berpisah,Over 23 years old,1,Social Service,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Tentara,103,Tidak,Tidak,Tidak,Tidak,Perempuan,Tidak,44,Tidak,0,6,0,0,0,0,0,6,0,0,0,0,13,0,0,Dropout
Berpisah,Over 23 years old,1,Agronomy,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,110,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,49,Tidak,6,12,17,7,12,0,3,12,19,9,11,0,15,2,-4,Graduate
Sudah Menikah,Change of course,1,Management,Evening,Secondary education,100,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,128,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,46,Tidak,6,10,13,9,12,0,4,10,12,10,12,0,7,2,0,Graduate
Belum Menikah,Over 23 years old,1,Veterinary Nursing,Daytime,Technological specialization course,120,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Direktur/Manager,Belum/Tidak Bekerja,137,Iya,Tidak,Tidak,Tidak,Laki-laki,Tidak,41,Tidak,3,3,3,3,12,0,2,2,2,2,11,0,12,0,1,Dropout
Belum Menikah,2nd phase - general contingent,3,Nursing,Daytime,Secondary education,133,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Belum/Tidak Bekerja,Spesialis IT/Teknisi,128,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,18,Tidak,0,7,8,7,11,0,0,8,9,8,12,0,13,0,0,Graduate
Duda,Over 23 years old,1,Management,Evening,Secondary education,120,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Belum/Tidak Bekerja,Spesialis Pendidikan,170,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,43,Tidak,0,5,5,5,11,0,0,5,6,5,14,0,9,0,-3,Graduate
Berpisah,Over 23 years old,2,Management,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Konstruksi/Transportasi,116,Tidak,Tidak,Iya,Tidak,Laki-laki,Tidak,70,Tidak,0,5,5,0,0,0,0,5,9,0,0,0,10,1,1,Dropout
Berpisah,Over 23 years old,1,Equinculture,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Belum/Tidak Bekerja,Manajemen/Administrasi,100,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,48,Tidak,0,6,0,0,0,0,0,6,0,0,0,0,15,2,-4,Dropout
Sudah Menikah,Change of course,1,Agronomy,Daytime,Secondary education,133,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Konstruksi/Transportasi,136,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,41,Tidak,18,19,19,19,12,0,12,13,13,13,12,0,15,2,-4,Graduate
Belum Menikah,Over 23 years old,1,Biofuel Production Technologies,Daytime,Secondary education,100,Brazilian,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Spesialis IT/Teknisi,100,Tidak,Tidak,Iya,Tidak,Laki-laki,Tidak,35,Iya,0,7,18,3,11,0,0,7,7,0,0,0,16,0,0,Dropout
Belum Menikah,1st phase - general contingent,1,Management,Daytime,Secondary education,143,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Layanan dan Jasa,Layanan dan Jasa,152,Iya,Tidak,Iya,Iya,Laki-laki,Tidak,18,Tidak,0,5,15,4,13,0,0,5,6,2,13,0,13,0,0,Dropout
Sudah Menikah,1st phase - general contingent,1,Social Service (evening attendance),Evening,Secondary education,165,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,162,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,45,Tidak,0,6,7,6,13,0,0,6,6,6,13,0,7,2,0,Graduate
Belum Menikah,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,140,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Belum/Tidak Bekerja,Direktur/Manager,140,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,22,Tidak,0,6,12,5,12,0,0,6,11,6,11,0,12,0,1,Graduate
Belum Menikah,Change of course,1,Informatics Engineering,Daytime,Secondary education,140,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Layanan dan Jasa,Konstruksi/Transportasi,146,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,39,Tidak,0,5,10,3,17,0,0,5,11,1,17,0,13,0,0,Dropout
Sudah Menikah,Over 23 years old,1,Management,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Belum/Tidak Bekerja,Spesialis IT/Teknisi,128,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,49,Tidak,0,5,9,3,14,0,0,5,8,3,13,0,8,1,3,Dropout
Belum Menikah,Holders of other higher courses,1,Oral Hygiene,Daytime,Higher education - master's,190,Portuguese,Higher Education - Doctorate,Higher Education - Doctorate,Spesialis Pendidikan,Spesialis Pendidikan,190,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,43,Tidak,4,4,4,4,13,0,1,1,1,1,12,0,11,0,2,Dropout
Sudah Menikah,Over 23 years old,1,Management,Evening,Secondary education,120,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,133,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,32,Tidak,0,5,5,0,0,0,0,5,5,0,0,0,7,2,0,Dropout
Belum Menikah,Over 23 years old,1,Social Service,Daytime,Other - 11th year of schooling,100,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,124,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,47,Tidak,3,9,9,9,13,0,3,7,7,7,14,0,10,1,1,Graduate
Sudah Menikah,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,133,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Manajemen/Administrasi,Spesialis IT/Teknisi,144,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,41,Tidak,6,10,10,10,12,0,3,7,7,7,12,0,10,1,1,Graduate
Sudah Menikah,Over 23 years old,1,Agronomy,Daytime,Secondary education,150,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Petani/Perikanan/Kehutanan,140,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,60,Tidak,17,18,18,18,14,0,11,13,13,13,14,0,15,2,-4,Graduate
Sudah Menikah,Over 23 years old,1,Tourism,Daytime,Secondary education,120,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,148,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,47,Tidak,6,11,11,11,14,0,6,9,9,9,15,0,10,1,1,Graduate
Belum Menikah,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,133,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,7th Year (Old),Belum/Tidak Bekerja,Konstruksi/Transportasi,96,Tidak,Tidak,Iya,Tidak,Laki-laki,Tidak,50,Tidak,0,6,6,0,0,0,0,5,6,0,0,0,12,0,1,Dropout
Sudah Menikah,Over 23 years old,1,Management,Evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,121,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,45,Tidak,0,5,5,0,0,0,0,5,5,0,0,0,7,2,0,Dropout
Belum Menikah,Over 23 years old,1,Informatics Engineering,Daytime,Secondary education,100,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Spesialis IT/Teknisi,160,Tidak,Tidak,Iya,Tidak,Laki-laki,Tidak,45,Tidak,0,5,5,0,0,0,0,5,5,0,0,0,15,2,-4,Dropout
Sudah Menikah,Over 23 years old,1,Veterinary Nursing,Daytime,Secondary education,133,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,110,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,33,Tidak,0,5,7,4,13,0,0,5,6,5,11,0,7,2,0,Graduate
Belum Menikah,1st phase - general contingent,1,Nursing,Daytime,Secondary education,143,Portuguese,Higher Education - Degree,Higher Education - Degree,Spesialis Pendidikan,Spesialis Pendidikan,129,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,18,Tidak,0,8,8,7,13,0,0,8,8,7,13,0,10,1,1,Graduate
Sudah Menikah,Over 23 years old,1,Veterinary Nursing,Daytime,Secondary education,120,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Petani/Perikanan/Kehutanan,Petani/Perikanan/Kehutanan,150,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,43,Tidak,0,5,8,5,13,2,0,5,5,5,14,0,9,0,-3,Graduate
Belum Menikah,Change of course,1,Social Service (evening attendance),Evening,Secondary education,161,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Manajemen/Administrasi,Tentara,100,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,44,Tidak,9,13,18,13,11,0,9,11,11,11,12,0,12,3,-1,Graduate
Belum Menikah,Over 23 years old,1,Equinculture,Daytime,12th year of schooling - not completed,133,Portuguese,Unknown,Can Read Without Having a 4th Year of Schooling,Belum/Tidak Bekerja,Belum/Tidak Bekerja,107,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,29,Tidak,0,5,5,0,0,0,0,5,5,0,0,0,7,2,0,Dropout
Berpisah,Over 23 years old,1,Advertising and Marketing Management,Daytime,Secondary education,140,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,Spesialis IT/Teknisi,Belum/Tidak Bekerja,170,Tidak,Tidak,Iya,Tidak,Laki-laki,Tidak,53,Tidak,0,6,11,3,14,0,0,6,6,0,0,0,12,3,-1,Dropout
Belum Menikah,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,156,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Belum/Tidak Bekerja,Layanan dan Jasa,170,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,22,Tidak,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,Graduate
Belum Menikah,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,140,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Layanan dan Jasa,115,Tidak,Tidak,Tidak,Tidak,Laki-laki,Tidak,33,Tidak,0,6,6,1,11,0,0,6,0,0,0,0,10,1,1,Dropout
Berpisah,Holders of other higher courses,1,Nursing,Daytime,Higher education - degree,140,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Belum/Tidak Bekerja,Konstruksi/Transportasi,140,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,51,Tidak,4,7,7,7,15,0,6,8,8,8,16,0,13,0,0,Graduate
Belum Menikah,Change of institution/course,1,Advertising and Marketing Management,Daytime,Secondary education,140,Portuguese,Other - 11th Year of Schooling,Higher Education - Doctorate,Spesialis IT/Teknisi,Spesialis IT/Teknisi,126,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,19,Tidak,2,6,7,6,14,0,1,7,8,7,14,0,11,0,2,Graduate
Belum Menikah,Over 23 years old,1,Management,Evening,Secondary education,133,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,143,Tidak,Tidak,Tidak,Iya,Laki-laki,Tidak,35,Tidak,0,5,5,0,0,0,0,5,5,0,0,0,11,0,2,Dropout
Belum Menikah,1st phase - general contingent,2,Animation and Multimedia Design,Daytime,Secondary education,131,Brazilian,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Manajemen/Administrasi,Konstruksi/Transportasi,131,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,20,Iya,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,Graduate
